term,Estimate,Std. Error,z value,Pr(>|z|)
Intercept,-4.272,0.178,-24.055,0
Days,-0.078,0.026,-3.045,0.002
Days^2,-0.018,0.029,-0.64,0.522
Road type (trail),-1.154,0.216,-5.346,0
Habitat type (other),0.73,0.211,3.451,0.001
Elevation,-0.535,0.117,-4.565,0
Elevation^2,0.357,0.102,3.51,0
Distance to road,-0.308,0.135,-2.283,0.022
PM 2.5,0.011,0.024,0.476,0.634
